employee_id,burnout_level,burnout_score,employee_feedback,clean_feedback,themes
27702,High,5.8,"Over time, Some weeks require significantly more effort than others. Some projects create periods of increased stress and responsibility. I occasionally struggle to feel fully rested before work.",over time some weeks require significantly more effort than others some projects create periods of increased stress and responsibility i occasionally struggle to feel fully rested before work,"Workload, Sleep, Stress"
42142,Moderate,4.5,"From my experience, Busy periods occasionally affect my ability to disconnect from work. Meeting deadlines can occasionally be stressful. There are periods when workload becomes difficult to manage.",from my busy periods occasionally affect my ability to disconnect from work meeting deadlines can occasionally be stressful there are periods when workload becomes difficult to manage,"Workload, Stress, Work-Life Balance"
45081,High,7.0,"Recently, I frequently feel anxious about upcoming deadlines. It is difficult to raise concerns when workload becomes excessive. I have noticed increasing signs of burnout over the past few months.",i frequently feel anxious about upcoming deadlines it is difficult to raise concerns when workload becomes excessive i have noticed increasing signs of burnout over the few,"Workload, Stress"
16639,High,6.0,"Recently, Some weeks require significantly more effort than others. I occasionally feel pressure when managing multiple priorities.",some weeks require significantly more effort than others i occasionally feel pressure when managing multiple priorities,"Workload, Stress"
20425,Low,3.3,"Over time, I enjoy working with my colleagues and feel comfortable sharing ideas. The organization provides enough flexibility to manage work effectively.",over time i enjoy working with my colleagues and feel comfortable sharing ideas the organization provides enough flexibility to manage work effectively,
88703,Low,1.6,"Over time, I enjoy working with my colleagues and feel comfortable sharing ideas. I receive useful feedback that helps me improve my performance.",over time i enjoy working with my colleagues and feel comfortable sharing ideas i receive useful feedback that helps me improve my performance,Management
150,Severe,9.1,"In my current role, I have noticed increasing signs of burnout over the past few months. Managing current responsibilities has become increasingly stressful.",in my current role i have noticed increasing signs of burnout over the few managing current responsibilities has become increasingly stressful,Stress
1762,Severe,9.2,"Recently, I frequently feel anxious about upcoming deadlines. Lack of sleep has made it difficult to maintain focus throughout the day. The constant pressure has significantly affected my energy levels.",i frequently feel anxious about upcoming deadlines lack of sleep has made it difficult to maintain focus throughout the day the constant pressure has significantly affected my energy levels,"Workload, Sleep, Stress"
63121,High,6.0,"Lately, Project deadlines can occasionally create additional pressure. There are times when work-related thoughts affect my ability to relax. Meeting deadlines can occasionally be stressful. Recently, I have felt less motivated and engaged with my work.",project deadlines can occasionally create additional pressure there are times when workrelated thoughts affect my ability to relax meeting deadlines can occasionally be stressful i have felt less motivated and engaged with my work,"Workload, Stress"
69162,High,5.7,"From my experience, I sometimes find it difficult to maintain a healthy work-life balance. There are times when work-related pressure becomes noticeable. Some weeks require significantly more effort than others. Stressful periods sometimes affect my sleep quality.",from my i sometimes find it difficult to maintain a healthy worklife balance there are times when workrelated pressure becomes noticeable some weeks require significantly more effort than others stressful periods sometimes affect my sleep quality,"Workload, Sleep, Stress, Work-Life Balance"
64884,High,5.6,"Over time, There are times when work-related thoughts affect my ability to relax. Project deadlines can occasionally create additional pressure.",over time there are times when workrelated thoughts affect my ability to relax project deadlines can occasionally create additional pressure,"Workload, Stress"
2496,Moderate,5.0,"Over time, Meeting deadlines can occasionally be stressful. Some weeks require significantly more effort than others.",over time meeting deadlines can occasionally be stressful some weeks require significantly more effort than others,"Workload, Stress"
80297,Moderate,4.5,"Lately, I have become less enthusiastic about my daily responsibilities. Some weeks require significantly more effort than others. I occasionally struggle to feel fully rested before work. Meeting deadlines can occasionally be stressful.",i have become less enthusiastic about my daily responsibilities some weeks require significantly more effort than others i occasionally struggle to feel fully rested before work meeting deadlines can occasionally be stressful,"Workload, Sleep, Stress"
19448,Low,3.0,"In my current role, The flexibility offered by the organization helps me maintain a healthy routine. My manager provides strong support whenever challenges arise.",in my current role the flexibility offered by the organization helps me maintain a healthy routine my manager provides strong support whenever challenges arise,Management
41332,High,6.9,"Recently, There are times when work-related pressure becomes noticeable. Project deadlines can occasionally create additional pressure. Busy periods occasionally affect my ability to disconnect from work.",there are times when workrelated pressure becomes noticeable project deadlines can occasionally create additional pressure busy periods occasionally affect my ability to disconnect from work,"Workload, Stress, Work-Life Balance"
14889,Severe,8.5,"Lately, Work-related stress has negatively impacted my sleep quality. The pressure to meet expectations has become mentally draining. The workload has become overwhelming and difficult to sustain.",workrelated stress has negatively impacted my sleep quality the pressure to meet expectations has become mentally draining the workload has become overwhelming and difficult to sustain,"Workload, Sleep, Stress"
88637,Severe,7.5,"Over the past few months, The constant pressure has significantly affected my energy levels. Persistent stress is affecting both my motivation and wellbeing.",over the few the constant pressure has significantly affected my energy levels persistent stress is affecting both my motivation and wellbeing,"Workload, Sleep, Stress"
94893,Low,3.5,"Recently, My work feels meaningful and rewarding. I have become less enthusiastic about my daily responsibilities. I feel valued as part of a positive and productive team.",my work feels meaningful and rewarding i have become less enthusiastic about my daily responsibilities i feel valued as part of a positive and productive team,
92732,Moderate,5.0,"Recently, I sometimes find it difficult to maintain a healthy work-life balance. Project deadlines can occasionally create additional pressure. Stressful periods sometimes affect my sleep quality. Meeting deadlines can occasionally be stressful. Recently, I have felt less motivated and engaged with my work.",i sometimes find it difficult to maintain a healthy worklife balance project deadlines can occasionally create additional pressure stressful periods sometimes affect my sleep quality meeting deadlines can occasionally be stressful i have felt less motivated and engaged with my work,"Workload, Sleep, Stress, Work-Life Balance"
29131,High,6.4,"In my current role, There are times when work-related pressure becomes noticeable. I occasionally struggle to feel fully rested before work. There are periods when workload becomes difficult to manage.",in my current role there are times when workrelated pressure becomes noticeable i occasionally struggle to feel fully rested before work there are periods when workload becomes difficult to manage,"Workload, Sleep, Stress"
79023,Moderate,4.2,"Over the past few months, There are periods when workload becomes difficult to manage. I occasionally struggle to feel fully rested before work. I have become less enthusiastic about my daily responsibilities.",over the few there are periods when workload becomes difficult to manage i occasionally struggle to feel fully rested before work i have become less enthusiastic about my daily responsibilities,"Workload, Sleep"
84937,Severe,10.0,"In my current role, Communication from management could be improved. The work feels less rewarding than it previously did. The demands of my role leave little time for personal recovery. The constant pressure has significantly affected my energy levels. Managing current responsibilities has become increasingly stressful.",in my current role communication from management could be improved the work feels less rewarding than it previously did the demands of my role leave little time for personal recovery the constant pressure has significantly affected my energy levels managing current responsibilities has become increasingly stressful,"Workload, Sleep, Stress, Management"
16822,Severe,7.3,"Over time, Managing current responsibilities has become increasingly stressful. The workload has become overwhelming and difficult to sustain. The work feels less rewarding than it previously did.",over time managing current responsibilities has become increasingly stressful the workload has become overwhelming and difficult to sustain the work feels less rewarding than it previously did,"Workload, Stress"
36734,Moderate,3.7,"Over the past few months, My work feels meaningful and rewarding. My work allows me to continuously improve my technical and professional skills.",over the few my work feels meaningful and rewarding my work allows me to continuously improve my technical and professional skills,
15603,Moderate,3.9,"Over the past few months, I feel valued as part of a positive and productive team. I am satisfied with my current responsibilities and workload.",over the few i feel valued as part of a positive and productive team i am satisfied with my current responsibilities and workload,Workload
28534,Moderate,5.5,"Lately, My overall job satisfaction has declined over time. I occasionally feel pressure when managing multiple priorities. Some weeks require significantly more effort than others.",my overall job satisfaction has declined over time i occasionally feel pressure when managing multiple priorities some weeks require significantly more effort than others,"Workload, Stress"
69770,Moderate,4.3,"Recently, Stressful periods sometimes affect my sleep quality. There are periods when workload becomes difficult to manage.",stressful periods sometimes affect my sleep quality there are periods when workload becomes difficult to manage,"Workload, Sleep, Stress"
11406,High,6.8,"Recently, There are times when work-related thoughts affect my ability to relax. Meeting deadlines can occasionally be stressful. Project deadlines can occasionally create additional pressure. Work responsibilities occasionally spill into personal time.",there are times when workrelated thoughts affect my ability to relax meeting deadlines can occasionally be stressful project deadlines can occasionally create additional pressure work responsibilities occasionally spill into personal time,"Workload, Stress, Work-Life Balance"
96853,Low,0.0,"From my experience, The team culture is collaborative and supportive. Management creates an environment where employees feel supported.",from my the team culture is collaborative and supportive management creates an environment where employees feel supported,Management
16131,Severe,7.3,"Recently, Lack of sleep has made it difficult to maintain focus throughout the day. I have noticed increasing signs of burnout over the past few months. I find it difficult to disconnect from work after office hours. Managing current responsibilities has become increasingly stressful.",lack of sleep has made it difficult to maintain focus throughout the day i have noticed increasing signs of burnout over the few i find it difficult to disconnect from work after office hours managing current responsibilities has become increasingly stressful,"Sleep, Stress, Work-Life Balance"
19793,Low,3.1,"Lately, I feel that my role provides excellent opportunities for professional growth. My work feels meaningful and rewarding.",i feel that my role provides excellent opportunities for professional growth my work feels meaningful and rewarding,
89578,Low,2.6,"Over time, The team culture is collaborative and supportive. My overall job satisfaction has declined over time. My manager provides strong support whenever challenges arise.",over time the team culture is collaborative and supportive my overall job satisfaction has declined over time my manager provides strong support whenever challenges arise,Management
40164,Low,0.2,"Lately, Leadership is approachable and encourages open communication. The team culture is collaborative and supportive.",leadership is approachable and encourages open communication the team culture is collaborative and supportive,Management
31777,Severe,7.2,"Over the past few months, I often feel mentally exhausted by the end of the workday. My overall job satisfaction has declined over time. It is difficult to raise concerns when workload becomes excessive. Managing current responsibilities has become increasingly stressful. I rarely feel fully rested before beginning work.",over the few i often feel mentally exhausted by the end of the workday my overall job satisfaction has declined over time it is difficult to raise concerns when workload becomes excessive managing current responsibilities has become increasingly stressful i rarely feel fully rested before beginning work,"Workload, Sleep, Stress"
25331,Moderate,4.5,"Recently, Some weeks require significantly more effort than others. There are times when work-related thoughts affect my ability to relax.",some weeks require significantly more effort than others there are times when workrelated thoughts affect my ability to relax,
79157,Moderate,4.5,"From my experience, There are periods when workload becomes difficult to manage.",from my there are periods when workload becomes difficult to manage,Workload
51686,High,5.7,"Over the past few months, Busy periods occasionally affect my ability to disconnect from work. There are periods when workload becomes difficult to manage. I have become less enthusiastic about my daily responsibilities. There are times when work-related pressure becomes noticeable.",over the few busy periods occasionally affect my ability to disconnect from work there are periods when workload becomes difficult to manage i have become less enthusiastic about my daily responsibilities there are times when workrelated pressure becomes noticeable,"Workload, Stress, Work-Life Balance"
75499,High,6.0,"Over time, Work responsibilities occasionally spill into personal time. Some projects create periods of increased stress and responsibility. I occasionally struggle to feel fully rested before work. Some weeks require significantly more effort than others. I have become less enthusiastic about my daily responsibilities.",over time work responsibilities occasionally spill into personal time some projects create periods of increased stress and responsibility i occasionally struggle to feel fully rested before work some weeks require significantly more effort than others i have become less enthusiastic about my daily responsibilities,"Workload, Sleep, Stress, Work-Life Balance"
4728,High,7.0,"Over time, I frequently feel anxious about upcoming deadlines. I rarely feel fully rested before beginning work. I often feel mentally exhausted by the end of the workday.",over time i frequently feel anxious about upcoming deadlines i rarely feel fully rested before beginning work i often feel mentally exhausted by the end of the workday,"Workload, Sleep, Stress"
85199,Severe,7.5,"Over time, Persistent stress is affecting both my motivation and wellbeing. The constant pressure has significantly affected my energy levels. I have become less enthusiastic about my daily responsibilities.",over time persistent stress is affecting both my motivation and wellbeing the constant pressure has significantly affected my energy levels i have become less enthusiastic about my daily responsibilities,"Workload, Sleep, Stress"
35796,Severe,8.0,"In my current role, I have noticed increasing signs of burnout over the past few months. I frequently feel anxious about upcoming deadlines. I rarely feel fully rested before beginning work.",in my current role i have noticed increasing signs of burnout over the few i frequently feel anxious about upcoming deadlines i rarely feel fully rested before beginning work,"Workload, Sleep, Stress"
12257,High,5.8,"Recently, Work responsibilities occasionally spill into personal time. There are periods when workload becomes difficult to manage. There are times when work-related pressure becomes noticeable.",work responsibilities occasionally spill into personal time there are periods when workload becomes difficult to manage there are times when workrelated pressure becomes noticeable,"Workload, Stress, Work-Life Balance"
35719,Moderate,4.0,"Lately, Busy work schedules can impact my sleep routine. Meeting deadlines can occasionally be stressful. Some weeks require significantly more effort than others.",busy work schedules can impact my sleep routine meeting deadlines can occasionally be stressful some weeks require significantly more effort than others,"Workload, Sleep, Stress"
70552,High,6.0,"Recently, There are times when work-related pressure becomes noticeable. The pace of work can become challenging during busy periods.",there are times when workrelated pressure becomes noticeable the pace of work can become challenging during busy periods,"Workload, Stress"
54375,Severe,7.6,"In my current role, The pressure to meet expectations has become mentally draining. I rarely feel fully rested before beginning work. The constant pressure has significantly affected my energy levels. I find it difficult to disconnect from work after office hours.",in my current role the pressure to meet expectations has become mentally draining i rarely feel fully rested before beginning work the constant pressure has significantly affected my energy levels i find it difficult to disconnect from work after office hours,"Workload, Sleep, Stress, Work-Life Balance"
39692,Low,1.6,"Over time, The projects I work on help me develop new skills and stay engaged. Remote work options have positively impacted my productivity.",over time the projects i work on help me develop new skills and stay engaged remote work options have positively impacted my productivity,Workload
93703,Severe,7.6,"From my experience, I find it difficult to disconnect from work after office hours. Lack of sleep has made it difficult to maintain focus throughout the day. I often feel mentally exhausted by the end of the workday. Persistent stress is affecting both my motivation and wellbeing.",from my i find it difficult to disconnect from work after office hours lack of sleep has made it difficult to maintain focus throughout the day i often feel mentally exhausted by the end of the workday persistent stress is affecting both my motivation and wellbeing,"Sleep, Stress, Work-Life Balance"
73692,Severe,8.0,"Over time, I rarely feel fully rested before beginning work. I often feel mentally exhausted by the end of the workday. The work feels less rewarding than it previously did. I frequently feel anxious about upcoming deadlines.",over time i rarely feel fully rested before beginning work i often feel mentally exhausted by the end of the workday the work feels less rewarding than it previously did i frequently feel anxious about upcoming deadlines,"Workload, Sleep, Stress"
98071,High,5.7,"In my current role, Stressful periods sometimes affect my sleep quality. Work responsibilities occasionally spill into personal time. There are periods when workload becomes difficult to manage. I occasionally feel pressure when managing multiple priorities.",in my current role stressful periods sometimes affect my sleep quality work responsibilities occasionally spill into personal time there are periods when workload becomes difficult to manage i occasionally feel pressure when managing multiple priorities,"Workload, Sleep, Stress, Work-Life Balance"
576,High,6.3,"Recently, Meeting deadlines can occasionally be stressful. Some weeks require significantly more effort than others.",meeting deadlines can occasionally be stressful some weeks require significantly more effort than others,"Workload, Stress"
84611,Severe,8.9,"In my current role, I rarely feel fully rested before beginning work. The constant pressure has significantly affected my energy levels. Managing current responsibilities has become increasingly stressful.",in my current role i rarely feel fully rested before beginning work the constant pressure has significantly affected my energy levels managing current responsibilities has become increasingly stressful,"Workload, Sleep, Stress"
61770,Severe,10.0,"Lately, I rarely feel fully rested before beginning work. I would benefit from more support from leadership during demanding periods. Managing current responsibilities has become increasingly stressful. I have noticed increasing signs of burnout over the past few months.",i rarely feel fully rested before beginning work i would benefit from more support from leadership during demanding periods managing current responsibilities has become increasingly stressful i have noticed increasing signs of burnout over the few,"Sleep, Stress, Management"
32261,Low,3.2,"Over time, The flexibility offered by the organization helps me maintain a healthy routine. My work allows me to continuously improve my technical and professional skills.",over time the flexibility offered by the organization helps me maintain a healthy routine my work allows me to continuously improve my technical and professional skills,
82200,Low,2.7,"In my current role, Management creates an environment where employees feel supported. The flexibility offered by the organization helps me maintain a healthy routine.",in my current role management creates an environment where employees feel supported the flexibility offered by the organization helps me maintain a healthy routine,Management
36291,High,6.6,"Lately, I occasionally feel pressure when managing multiple priorities. There are periods when workload becomes difficult to manage.",i occasionally feel pressure when managing multiple priorities there are periods when workload becomes difficult to manage,"Workload, Stress"
78450,Moderate,4.9,"Lately, The work feels less rewarding than it previously did. Some projects create periods of increased stress and responsibility. Project deadlines can occasionally create additional pressure.",the work feels less rewarding than it previously did some projects create periods of increased stress and responsibility project deadlines can occasionally create additional pressure,"Workload, Stress"
60056,High,6.6,"Over time, Some weeks require significantly more effort than others. Busy work schedules can impact my sleep routine. There are times when work-related pressure becomes noticeable. I sometimes find it difficult to maintain a healthy work-life balance.",over time some weeks require significantly more effort than others busy work schedules can impact my sleep routine there are times when workrelated pressure becomes noticeable i sometimes find it difficult to maintain a healthy worklife balance,"Workload, Sleep, Stress, Work-Life Balance"
45949,Severe,8.9,"Over time, I have noticed increasing signs of burnout over the past few months. Work-related stress has negatively impacted my sleep quality. I frequently feel anxious about upcoming deadlines.",over time i have noticed increasing signs of burnout over the few workrelated stress has negatively impacted my sleep quality i frequently feel anxious about upcoming deadlines,"Workload, Sleep, Stress"
28178,Moderate,5.0,"From my experience, Recently, I have felt less motivated and engaged with my work. Project deadlines can occasionally create additional pressure. Some projects create periods of increased stress and responsibility. There are times when work-related thoughts affect my ability to relax.",from my i have felt less motivated and engaged with my work project deadlines can occasionally create additional pressure some projects create periods of increased stress and responsibility there are times when workrelated thoughts affect my ability to relax,"Workload, Stress"
84464,Low,2.9,"Over time, I enjoy the challenges that come with my position. The organization provides enough flexibility to manage work effectively.",over time i enjoy the challenges that come with my position the organization provides enough flexibility to manage work effectively,
579,Severe,8.0,"In my current role, Managing current responsibilities has become increasingly stressful. The constant pressure has significantly affected my energy levels. My overall job satisfaction has declined over time.",in my current role managing current responsibilities has become increasingly stressful the constant pressure has significantly affected my energy levels my overall job satisfaction has declined over time,"Workload, Sleep, Stress"
30960,Low,3.1,"Over the past few months, I feel motivated and engaged in my role. I can generally balance work responsibilities with personal commitments.",over the few i feel motivated and engaged in my role i can generally balance work responsibilities with personal commitments,Work-Life Balance
64291,High,6.6,"From my experience, Meeting deadlines can occasionally be stressful. Balancing work and personal commitments can sometimes be challenging. Project deadlines can occasionally create additional pressure.",from my meeting deadlines can occasionally be stressful balancing work and personal commitments can sometimes be challenging project deadlines can occasionally create additional pressure,"Workload, Stress, Work-Life Balance"
14532,Moderate,5.2,"Over time, I occasionally feel pressure when managing multiple priorities. There are periods when workload becomes difficult to manage. Work responsibilities occasionally spill into personal time.",over time i occasionally feel pressure when managing multiple priorities there are periods when workload becomes difficult to manage work responsibilities occasionally spill into personal time,"Workload, Stress, Work-Life Balance"
17934,High,6.0,"Over the past few months, The pace of work can become challenging during busy periods. I occasionally feel pressure when managing multiple priorities.",over the few the pace of work can become challenging during busy periods i occasionally feel pressure when managing multiple priorities,"Workload, Stress"
33609,Low,1.3,"Over the past few months, My work allows me to continuously improve my technical and professional skills. The team culture is collaborative and supportive.",over the few my work allows me to continuously improve my technical and professional skills the team culture is collaborative and supportive,Management
49960,Severe,7.8,"Over the past few months, I find it difficult to disconnect from work after office hours. The pressure to meet expectations has become mentally draining. The workload has become overwhelming and difficult to sustain.",over the few i find it difficult to disconnect from work after office hours the pressure to meet expectations has become mentally draining the workload has become overwhelming and difficult to sustain,"Workload, Stress, Work-Life Balance"
66599,Moderate,4.2,"Lately, The pace of work can become challenging during busy periods. Some projects create periods of increased stress and responsibility. There are times when work-related thoughts affect my ability to relax.",the pace of work can become challenging during busy periods some projects create periods of increased stress and responsibility there are times when workrelated thoughts affect my ability to relax,"Workload, Stress"
99090,High,6.2,"From my experience, The pace of work can become challenging during busy periods. I occasionally struggle to feel fully rested before work.",from my the pace of work can become challenging during busy periods i occasionally struggle to feel fully rested before work,"Workload, Sleep"
34452,Moderate,4.2,"Over time, Some weeks require significantly more effort than others. Meeting deadlines can occasionally be stressful. I have become less enthusiastic about my daily responsibilities.",over time some weeks require significantly more effort than others meeting deadlines can occasionally be stressful i have become less enthusiastic about my daily responsibilities,"Workload, Stress"
34081,Severe,9.3,"In my current role, Recently, I have felt less motivated and engaged with my work. Persistent stress is affecting both my motivation and wellbeing. The constant pressure has significantly affected my energy levels. Lack of sleep has made it difficult to maintain focus throughout the day.",in my current role i have felt less motivated and engaged with my work persistent stress is affecting both my motivation and wellbeing the constant pressure has significantly affected my energy levels lack of sleep has made it difficult to maintain focus throughout the day,"Workload, Sleep, Stress"
63588,Moderate,3.6,"Over time, My overall job satisfaction has declined over time. I can generally balance work responsibilities with personal commitments. The projects I work on help me develop new skills and stay engaged.",over time my overall job satisfaction has declined over time i can generally balance work responsibilities with personal commitments the projects i work on help me develop new skills and stay engaged,"Workload, Work-Life Balance"
4294,Moderate,5.2,"Recently, Project deadlines can occasionally create additional pressure.",project deadlines can occasionally create additional pressure,"Workload, Stress"
69103,Low,1.3,"From my experience, I enjoy the challenges that come with my position. The work feels less rewarding than it previously did. I receive useful feedback that helps me improve my performance.",from my i enjoy the challenges that come with my position the work feels less rewarding than it previously did i receive useful feedback that helps me improve my performance,Management
86412,High,6.4,"In my current role, There are times when work-related thoughts affect my ability to relax. The pace of work can become challenging during busy periods. There are times when work-related pressure becomes noticeable.",in my current role there are times when workrelated thoughts affect my ability to relax the pace of work can become challenging during busy periods there are times when workrelated pressure becomes noticeable,"Workload, Stress"
99477,Moderate,4.2,"From my experience, Work responsibilities occasionally spill into personal time. Some weeks require significantly more effort than others. The work feels less rewarding than it previously did.",from my work responsibilities occasionally spill into personal time some weeks require significantly more effort than others the work feels less rewarding than it previously did,Work-Life Balance
53930,Severe,7.5,"From my experience, Lack of sleep has made it difficult to maintain focus throughout the day. The constant pressure has significantly affected my energy levels. Persistent stress is affecting both my motivation and wellbeing.",from my lack of sleep has made it difficult to maintain focus throughout the day the constant pressure has significantly affected my energy levels persistent stress is affecting both my motivation and wellbeing,"Workload, Sleep, Stress"
87071,Moderate,4.7,"Lately, Busy periods occasionally affect my ability to disconnect from work. Some weeks require significantly more effort than others. I occasionally feel pressure when managing multiple priorities.",busy periods occasionally affect my ability to disconnect from work some weeks require significantly more effort than others i occasionally feel pressure when managing multiple priorities,"Workload, Stress, Work-Life Balance"
65084,Severe,10.0,"Over the past few months, Poor sleep is affecting my concentration and productivity. Managing current responsibilities has become increasingly stressful. I often feel mentally exhausted by the end of the workday. Recently, I have felt less motivated and engaged with my work.",over the few poor sleep is affecting my concentration and productivity managing current responsibilities has become increasingly stressful i often feel mentally exhausted by the end of the workday i have felt less motivated and engaged with my work,"Sleep, Stress"
30713,High,6.4,"In my current role, There are periods when workload becomes difficult to manage. Work responsibilities occasionally spill into personal time. I have become less enthusiastic about my daily responsibilities. Some projects create periods of increased stress and responsibility.",in my current role there are periods when workload becomes difficult to manage work responsibilities occasionally spill into personal time i have become less enthusiastic about my daily responsibilities some projects create periods of increased stress and responsibility,"Workload, Stress, Work-Life Balance"
49183,Moderate,3.8,"From my experience, Remote work options have positively impacted my productivity. Management creates an environment where employees feel supported.",from my remote work options have positively impacted my productivity management creates an environment where employees feel supported,Management
57235,Low,0.2,"Recently, I am satisfied with my current responsibilities and workload. I am satisfied with the learning opportunities available within the organization. Recently, I have felt less motivated and engaged with my work.",i am satisfied with my current responsibilities and workload i am satisfied with the learning opportunities available within the organization i have felt less motivated and engaged with my work,Workload
15664,High,6.5,"Over the past few months, Meeting deadlines can occasionally be stressful. Project deadlines can occasionally create additional pressure. Stressful periods sometimes affect my sleep quality.",over the few meeting deadlines can occasionally be stressful project deadlines can occasionally create additional pressure stressful periods sometimes affect my sleep quality,"Workload, Sleep, Stress"
19967,Moderate,5.2,"From my experience, I occasionally feel pressure when managing multiple priorities. Project deadlines can occasionally create additional pressure. Balancing work and personal commitments can sometimes be challenging.",from my i occasionally feel pressure when managing multiple priorities project deadlines can occasionally create additional pressure balancing work and personal commitments can sometimes be challenging,"Workload, Stress, Work-Life Balance"
91913,High,6.5,"Over the past few months, Some projects create periods of increased stress and responsibility. Some weeks require significantly more effort than others. My overall job satisfaction has declined over time.",over the few some projects create periods of increased stress and responsibility some weeks require significantly more effort than others my overall job satisfaction has declined over time,"Workload, Stress"
91958,Moderate,4.0,"In my current role, There are times when work-related pressure becomes noticeable. Some weeks require significantly more effort than others.",in my current role there are times when workrelated pressure becomes noticeable some weeks require significantly more effort than others,"Workload, Stress"
81347,Moderate,5.0,"Recently, I occasionally feel pressure when managing multiple priorities. The pace of work can become challenging during busy periods.",i occasionally feel pressure when managing multiple priorities the pace of work can become challenging during busy periods,"Workload, Stress"
55326,High,5.8,"Over time, Project deadlines can occasionally create additional pressure. There are times when work-related pressure becomes noticeable.",over time project deadlines can occasionally create additional pressure there are times when workrelated pressure becomes noticeable,"Workload, Stress"
29858,Severe,7.2,"Recently, The work feels less rewarding than it previously did. Poor sleep is affecting my concentration and productivity. I often feel mentally exhausted by the end of the workday. Maintaining a healthy work-life balance has become increasingly challenging.",the work feels less rewarding than it previously did poor sleep is affecting my concentration and productivity i often feel mentally exhausted by the end of the workday maintaining a healthy worklife balance has become increasingly challenging,"Sleep, Stress, Work-Life Balance"
71223,Severe,10.0,"Over time, The workload has become overwhelming and difficult to sustain. Managing current responsibilities has become increasingly stressful. The demands of my role leave little time for personal recovery. Poor sleep is affecting my concentration and productivity.",over time the workload has become overwhelming and difficult to sustain managing current responsibilities has become increasingly stressful the demands of my role leave little time for personal recovery poor sleep is affecting my concentration and productivity,"Workload, Sleep, Stress"
52459,Low,3.2,"From my experience, I enjoy working with my colleagues and feel comfortable sharing ideas. I receive useful feedback that helps me improve my performance.",from my i enjoy working with my colleagues and feel comfortable sharing ideas i receive useful feedback that helps me improve my performance,Management
88346,Low,1.7,"In my current role, I can generally balance work responsibilities with personal commitments. I receive useful feedback that helps me improve my performance.",in my current role i can generally balance work responsibilities with personal commitments i receive useful feedback that helps me improve my performance,"Management, Work-Life Balance"
82364,Low,3.3,"Recently, Management creates an environment where employees feel supported. I feel valued as part of a positive and productive team.",management creates an environment where employees feel supported i feel valued as part of a positive and productive team,Management
65350,Low,0.0,"In my current role, Leadership is approachable and encourages open communication. My overall job satisfaction has declined over time. The organization provides enough flexibility to manage work effectively.",in my current role leadership is approachable and encourages open communication my overall job satisfaction has declined over time the organization provides enough flexibility to manage work effectively,Management
59650,Low,3.3,"Over the past few months, I am satisfied with my current responsibilities and workload. The flexibility offered by the organization helps me maintain a healthy routine.",over the few i am satisfied with my current responsibilities and workload the flexibility offered by the organization helps me maintain a healthy routine,Workload
